Application_ID,Application_Date,Sanction_Date,Disbursal_Date,Borrower_Name,Age,Gender,Marital_Status,Dependents,PAN,Aadhaar,Mobile,Email,Property_City,Property_State,Property_Pincode,Employment_Type,Employer_Name,Years_With_Employer,Monthly_Income_Stated,Annual_Income_Stated,Actual_Bank_Credit_Monthly,ITR_Income_Last_FY,ITR_Income_Prev_FY,Form16_Available,Loan_Purpose,Property_Type,Market_Value_INR,Loan_Amount_INR,LTV_Ratio,Down_Payment_INR,Down_Payment_Source,Tenure_Years,Interest_Rate_pct,EMI_INR,FOIR,Existing_Monthly_EMI,Co_Applicant,Co_Applicant_Name,Co_Applicant_Annual_Income,CIBIL_Score,Num_Credit_Enquiries_Last_30D,Prev_Loan_Bank,Prev_Default_History,Valuation_Agency,Legal_Opinion,CERSAI_Checked,RERA_Registered,Title_Chain_Clear,EC_Years_Verified,Disbursement_Mode,Broker_Involved,Broker_DSA_Name,First_EMI_Status,DPD_Bucket_Current,Loan_Status,NPA_Date,Fraud_Type,Fraud_Label_01,Anomaly_Notes,Email_Name_Mismatch,Signature_Mismatch,ID_Docs_Altered,Salary_Round_Figure_Flag,PF_Deduction_Missing,Salary_Credited_From_Personal_Acct,ITR_Filed_Just_Before_Application,Month_End_Fund_Parking,Valuation_Inflation_Flag,OC_CC_Available,Disbursement_To_NonSeller_Flag,Legal_Opinion_TAT_Hours,Bank_Statement_Tampered,PDF_Metadata_Anomaly,Borrower_Unreachable,AML_Flag,Loan_Foreclosed_Within_6M,PEP_Involved,Overseas_Wire_Transfer_Detected
HL202405956,14-11-2024,23-11-2024,04-12-2024,Radha Ghosh,38.0,Male,Married,4.0,XGRSJ8622Y,5375 5678 2366,+91 9284389626,radha_ghosh@rediffmail.com,Kochi,Kerala,367486.0,Salaried,Bharat Electronics,9.0,299934,3599208.0,277914.0,3416923.0,2974677.0,No,Balance Transfer,Villa,15383706,12153127,0.79,3230579,Own Savings,7,11.95,214211,0.71,38499,Yes,Priya Verma,1061496.0,711.0,1,PNB,2+ DPD,Empanelled Valuer A,Clear,Post-Sanction Only,Yes,Yes,11.0,Cash,Yes,DSA/Sharma Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,99,No,No,No,No,No,No,No
HL201603439,26-02-2016,04-03-2016,21-03-2016,Deepak Chopra,45.0,Female,Single,4.0,WWNSO6302B,5872 1330 1298,+91 7210468423,dchopra@hotmail.com,Ahmedabad,Gujarat,161374.0,Salaried,HDFC Bank,1.0,117145,1405740.0,116559.0,1420900.0,1159150.0,Yes,Construction,Row House,7521246,4663172,0.62,2858074,Unknown,25,11.19,46346,0.4,3805,No,,0.0,700.0,2,Kotak Bank,,Empanelled Valuer A,Clear,Yes,Yes,Yes,,NEFT to Builder,Yes,DSA/Roy Associates,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,70,No,No,No,No,No,No,No
HL200900484,10-04-2009,23-04-2009,07-05-2009,Arun Rao,49.0,Male,Single,4.0,HJBQH7045I,9581 5575 3306,+91 8552677496,arunrao@gmail.com,Noida,Uttar Pradesh,,Self-Employed Professional,Self,12.0,191909,2302908.0,177341.0,2263660.0,1991142.0,,Repair/Renovation,Flat/Apartment,14301416,8723863,0.61,5577553,Family Gift,14,9.43,93713,0.49,23727,No,,0.0,792.0,6,BOB,,Third Party Valuer,Minor Observations,Post-Sanction Only,Not Applicable,No,17.0,Cheque,Yes,DSA/Pandey Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,82,No,No,No,No,No,No,No
HL201706317,20-01-2017,16-02-2017,,Vandana Mukherjee,55.0,Female,Single,1.0,CZTEG2287L,9087 3588 4400,+91 9988691485,vandana80@outlook.com,Agra,Uttar Pradesh,636297.0,Salaried,BPCL,2.0,270602,3247224.0,247187.0,3529015.0,2837894.0,No,Purchase,Row House,10862466,6951978,0.64,3910488,Own Savings,13,11.73,87040,0.32,6922,No,,0.0,717.0,3,SBI,,Collusive Valuer,Clear,Yes,Not Applicable,Partial,,NEFT to Seller,Yes,DSA/Patil Associates,Paid,90+,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,34,No,No,No,No,No,No,No
HL202001870,10-08-2020,23-08-2020,08-09-2020,Jyoti Dubey,57.0,Female,Single,4.0,FOQRL5920D,2799 5041 8892,+91 7937053857,,Visakhapatnam,Andhra Pradesh,783613.0,Self-Employed Professional,Self,16.0,480644,5767728.0,489223.0,5570454.0,5720602.0,,Purchase,Flat/Apartment,5402596,4214024,0.78,1188572,Sale of Asset,23,8.37,34451,0.07,29430,No,,0.0,697.0,3,HDFC Bank,,Empanelled Valuer A,Clear,No,Yes,No,18.0,Cheque,No,,Paid,90+,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,36,No,No,No,No,No,No,No
HL200707298,20-07-2007,28-07-2007,15-08-2007,Vinod Das,24.0,Female,Married,1.0,UTINS3740P,5794 9385 4357,+91 8213565217,vinod66@outlook.com,Kanpur,Uttar Pradesh,783665.0,Salaried,Tech Mahindra,4.0,152417,1829004.0,155746.0,1715230.0,1684499.0,Yes,Repair/Renovation,Flat/Apartment,6140303,4605227,0.75,1535076,Own Savings,14,11.55,55408,0.36,18718,No,,0.0,773.0,0,Axis Bank,,Empanelled Valuer B,Clear,Yes,Not Applicable,Partial,11.0,NEFT to Builder,Yes,DSA/Gupta Associates,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,56,No,No,No,No,No,No,No
HL200509971,01-05-2005,22-05-2005,09-06-2005,Poonam Chaudhary,47.0,Male,Single,1.0,TPLQM7538M,2709 1816 6073,+91 8642613537,poonam79@gmail.com,Mumbai,Maharashtra,216610.0,Self-Employed Professional,Self,18.0,329859,3958308.0,299206.0,4113923.0,3333933.0,,Construction,Flat/Apartment,21370095,13249458,0.62,8120637,Family Gift,26,11.2,130873,0.4,1220,No,,0.0,784.0,1,IndusInd Bank,,Empanelled Valuer A,Clear,No,Not Applicable,Yes,20.0,Cash,Yes,DSA/Chopra Associates,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,50,No,No,No,No,No,No,No
HL202103361,21-09-2021,08-10-2021,15-10-2021,Meena Patel,42.0,Male,Married,2.0,QXKHO8350A,6601 2489 2016,+91 9001379655,meena_patel@outlook.com,Bangalore,Karnataka,193811.0,Salaried,Flipkart,13.0,55356,664272.0,,701184.0,,Yes,Construction,Independent House,13793144,8965543,0.65,4827601,Unknown,13,12.4,115970,2.09,7739,No,,0.0,712.0,0,Canara Bank,,Empanelled Valuer B,Minor Observations,Yes,Not Applicable,No,12.0,Cheque,Yes,DSA/Nair Associates,Paid,0,NPA,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,57,No,No,No,No,No,No,No
HL200605974,12-01-2006,26-01-2006,04-02-2006,Savita Saxena,58.0,Female,Divorced,3.0,ARJPS7631S,5278 9933 1614,+91 9671286442,savita.saxena@hotmail.com,Jaipur,Rajasthan,505775.0,Self-Employed Business,Self,12.0,344459,4133508.0,300720.0,4097113.0,3557898.0,,Extension,Independent House,21698723,15623080,0.72,6075643,Own Savings,30,11.85,158899,0.46,26900,No,,0.0,683.0,3,ICICI Bank,,Empanelled Valuer B,Adverse,Post-Sanction Only,No,Yes,24.0,NEFT to Seller,Yes,DSA/Singh Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,84,No,No,No,No,No,No,No
HL201009829,12-07-2010,27-07-2010,09-08-2010,Priya Chaudhary,57.0,Male,Single,0.0,MCAPV9758M,2802 7205 2675,+91 8001997512,priya.chaudhary@yahoo.com,Agra,Uttar Pradesh,543398.0,Self-Employed Business,Self,6.0,167896,,144762.0,2211697.0,1990497.0,,Balance Transfer,Flat/Apartment,9311316,5959242,0.64,3352074,Third Party,16,10.16,62922,0.37,10595,Yes,Usha Joshi,525924.0,710.0,0,ICICI Bank,2+ DPD,Empanelled Valuer A,Minor Observations,Yes,Yes,Yes,18.0,NEFT to Seller,Yes,DSA/Tiwari Associates,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,106,No,No,No,No,No,No,No
HL200601107,20-04-2006,14-05-2006,18-05-2006,Sanjay Mukherjee,25.0,Female,Married,1.0,IVEWZ2441P,7453 3992 8671,+91 7239017524,sanjay_mukherjee@hotmail.com,Ghaziabad,Uttar Pradesh,692893.0,Salaried,Bharat Electronics,11.0,200923,2411076.0,199658.0,2637743.0,1943864.0,Yes,Balance Transfer,Independent House,21255476,16791826,0.79,4463650,Own Savings,16,8.64,161680,0.8,1431,Yes,Prakash Patel,243084.0,788.0,1,Kotak Bank,2+ DPD,Collusive Valuer,Clear,Yes,Yes,Yes,11.0,Cheque,No,,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,71,No,No,No,No,No,No,No
HL200402030,27-12-2004,03-01-2005,14-01-2005,Kishore Saxena,26.0,Male,Single,1.0,WQWKO5727S,2799 1246 8353,+91 9366782749,kishoresaxena@rediffmail.com,Delhi,Delhi,170105.0,Self-Employed Business,Self,3.0,111648,1339776.0,98264.0,1303909.0,1292349.0,,Construction,Independent House,2618968,2016605,0.77,602363,Own Savings,5,8.15,41034,0.37,16106,Yes,Suresh Sinha,807504.0,772.0,0,Kotak Bank,,Empanelled Valuer B,Minor Observations,Yes,Yes,Partial,28.0,NEFT to Seller,Yes,DSA/Chopra Associates,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,42,No,No,No,No,No,No,No
HL201806202,04-12-2018,12-12-2018,16-12-2018,Rajesh Desai,33.0,Female,Single,1.0,FDMHG5556F,8254 2494 2496,+91 8039334900,rajesh_desai@yahoo.com,Delhi,Delhi,143385.0,Salaried,Sun Pharma,12.0,100490,1205880.0,,1143413.0,1054351.0,,Construction,Row House,13913999,10435499,0.75,3478500,Sale of Asset,22,7.86,83197,0.83,15073,No,,0.0,769.0,1,BOB,,Empanelled Valuer A,Clear,Post-Sanction Only,Yes,Yes,21.0,Partial Cash,Yes,DSA/Desai Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,69,No,No,No,No,No,No,No
HL201903921,23-06-2019,07-07-2019,,Ashok Chatterjee,49.0,Male,Single,2.0,SJDHO4937I,2937 8394 4445,+91 7136210907,ashok76@outlook.com,Patna,Bihar,245733.0,Self-Employed Business,Self,19.0,23088,277056.0,21020.0,263672.0,273685.0,,Construction,Independent House,17699347,13274510,0.75,4424837,Own Savings,12,7.72,141660,6.14,925,No,,0.0,750.0,2,IndusInd Bank,,Empanelled Valuer B,Conditional Clear,Yes,Yes,Yes,17.0,NEFT to Seller,No,,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,Yes,No,No,No,Yes,No,116,No,No,No,No,No,No,No
HL200801420,28-09-2008,25-10-2008,31-10-2008,Kiran Bansal,47.0,Male,Single,3.0,VQNLV1655N,6824 9332 6286,+91 8903328334,kiran.bansal@yahoo.com,Indore,Madhya Pradesh,622748.0,Salaried,Sun Pharma,1.0,211577,2538924.0,,2591417.0,2163685.0,Yes,Construction,Villa,11154845,7027552,0.63,4127293,Own Savings,16,9.47,71199,0.95,23644,No,,0.0,796.0,2,SBI,,Empanelled Valuer A,Clear,Yes,Yes,Yes,27.0,Cash,No,,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,118,No,No,No,No,No,No,No
HL201107943,18-06-2011,01-07-2011,17-07-2011,Asha Chatterjee,49.0,Male,Married,3.0,JTEVD3557P,8334 5395 9219,+91 8616113963,asha.chatterjee@gmail.com,Agra,Uttar Pradesh,772425.0,Salaried,Swiggy,12.0,130125,1561500.0,116969.0,1487078.0,1178572.0,Yes,Repair/Renovation,Row House,10884134,6965845,0.64,3918289,Own Savings,27,9.52,59891,0.46,15842,Yes,Manish Chauhan,365844.0,783.0,2,BOB,,Empanelled Valuer B,Clear,Yes,Yes,No,20.0,Cheque,Yes,DSA/Saxena Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,32,No,No,No,No,No,No,Yes
HL201702615,06-07-2017,04-08-2017,14-08-2017,Manish Tiwari,29.0,Male,Married,4.0,PSLJP7436F,5641 7697 6134,+91 8590696245,rajesh239@gmail.com,Ahmedabad,Gujarat,747709.0,Self-Employed Business,Self,1.0,146083,1752996.0,141776.0,1866615.0,1358510.0,,Extension,Row House,20824802,14160865,0.68,6663937,Third Party,26,12.11,149420,1.02,20280,Yes,Kishore Goel,865776.0,781.0,0,IndusInd Bank,,Third Party Valuer,Conditional Clear,Post-Sanction Only,Yes,Yes,25.0,Cheque,No,,Paid,0,Closed,,CLEAN,0,,1,No,No,No,No,No,Yes,No,No,Yes,No,119,No,No,No,No,No,No,No
HL201004546,12-06-2010,09-07-2010,16-07-2010,Priya Chaudhary,25.0,,Married,3.0,IAOVL6952W,5892 3462 3939,+91 8041387004,priya_chaudhary@outlook.com,Nagpur,Maharashtra,766644.0,Salaried,BPCL,3.0,93960,1127520.0,89841.0,1169786.0,1121719.0,Yes,Extension,Villa,7481871,5686221,0.76,1795650,Own Savings,5,8.59,116908,1.24,13026,Yes,Bharat Chatterjee,1192344.0,765.0,1,SBI,,Collusive Valuer,Clear,Yes,Not Applicable,No,23.0,Cheque,No,,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,114,No,No,No,No,No,No,No
HL202101900,13-03-2021,08-04-2021,23-04-2021,Devendra Patil,58.0,Male,Married,3.0,FHQFO3514X,6797 7074 6186,+91 9384525471,dpatil@yahoo.com,Thane,Maharashtra,470842.0,Salaried,Bajaj Auto,19.0,131600,1579200.0,117724.0,1512651.0,1252725.0,Yes,Purchase,Villa,12343097,7899582,0.64,4443515,Own Savings,20,8.54,68754,0.52,13063,No,,,728.0,0,SBI,,Empanelled Valuer B,Clear,Post-Sanction Only,Yes,Partial,10.0,NEFT to Seller,No,,Paid,0,Written Off,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,34,No,No,No,No,No,No,No
HL201302113,23-04-2013,10-05-2013,15-05-2013,Girish Tiwari,27.0,Female,Married,0.0,KPZUU3186K,3140 9895 6752,+91 7780643615,girish10@hotmail.com,Bhopal,Madhya Pradesh,220927.0,Self-Employed Business,Self,15.0,57499,689988.0,50913.0,629135.0,545469.0,,Construction,Flat/Apartment,9870457,7008024,0.71,2862433,Sale of Asset,7,10.81,119295,2.07,814,Yes,Devendra Verma,,773.0,0,SBI,,Empanelled Valuer B,Clear,Post-Sanction Only,Yes,Partial,29.0,NEFT to Builder,Yes,DSA/Khanna Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,98,No,No,No,No,No,No,No
HL202102681,17-08-2021,31-08-2021,11-09-2021,Jyoti Desai,24.0,Female,Married,0.0,DLVXO8778G,4952 2658 4832,+91 9920168978,,Ahmedabad,Gujarat,491953.0,Salaried,Sun Pharma,13.0,115091,1381092.0,,1243416.0,1377870.0,No,Repair/Renovation,Flat/Apartment,2684759,1852483,0.69,832276,Own Savings,28,10.66,17344,0.15,11386,No,,0.0,731.0,0,Kotak Bank,,Empanelled Valuer A,Minor Observations,Yes,Yes,No,15.0,NEFT to Builder,No,,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,62,No,No,No,No,No,No,No
HL200905147,08-10-2009,02-11-2009,21-11-2009,Vijay Verma,28.0,Female,Married,3.0,NOHUL8502T,8469 6287 9240,+91 8775657362,vijay.verma@hotmail.com,Delhi,Delhi,712540.0,Salaried,ICICI Bank,4.0,285506,3426072.0,,3552408.0,2830628.0,Yes,Purchase,Plot+Construction,21884376,14881375,0.68,7003001,Own Savings,18,10.58,154386,0.54,37698,Yes,Deepak Pandey,1022880.0,697.0,2,,,Empanelled Valuer B,Clear,Post-Sanction Only,Yes,Partial,30.0,NEFT to Builder,Yes,DSA/Goel Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,41,No,No,No,No,No,No,No
HL201506004,21-04-2015,18-05-2015,27-05-2015,Vikas Sinha,61.0,,Married,4.0,LQNNC5294B,5959 3470 5504,+91 9486174595,vikas.sinha73@yahoo.com,Delhi,Delhi,519411.0,Salaried,HCL Technologies,13.0,42775,513300.0,39895.0,493648.0,456404.0,Yes,Purchase,Plot+Construction,13735347,10988277,0.8,2747070,Family Gift,6,9.12,198724,4.65,5337,Yes,Ajay Rao,704028.0,681.0,2,Kotak Bank,,Empanelled Valuer A,Adverse,Yes,Yes,Yes,17.0,NEFT to Seller,No,,Paid,1-30,Written Off,,CLEAN,0,,0,No,No,No,No,No,No,No,Yes,Yes,No,100,No,No,No,No,No,No,No
HL201709880,01-02-2017,17-02-2017,05-03-2017,Mohan Tiwari,50.0,Male,Single,4.0,IXGSU3344M,5028 9661 2433,+91 9556385533,mohan_tiwari@rediffmail.com,Ludhiana,Punjab,442743.0,Salaried,Bajaj Auto,2.0,0,0.0,0.0,3168563.0,2851964.0,Yes,Construction,Row House,12534384,8272693,0.66,4261691,Own Savings,13,7.77,84404,0.3,5003,No,,0.0,711.0,2,HDFC Bank,,Collusive Valuer,Clear,Post-Sanction Only,Yes,Yes,25.0,NEFT to Builder,Yes,DSA/Joshi Associates,Paid,0,Closed,,CLEAN,0,,0,No,No,Yes,No,No,No,No,No,Yes,No,63,No,No,No,No,Yes,No,No
HL200808159,14-07-2008,31-07-2008,04-08-2008,Pankaj Sharma,25.0,Female,Single,2.0,JYTNV6138K,7442 6686 8297,+91 7974396746,pankaj26@yahoo.com,Noida,Uttar Pradesh,157874.0,Self-Employed Professional,,6.0,356432,4277184.0,321812.0,3859975.0,3954785.0,,Purchase,Independent House,23146912,18286060,0.79,4860852,Unknown,6,10.35,342000,0.96,5382,No,,0.0,786.0,0,Axis Bank,,Empanelled Valuer A,Adverse,Yes,Not Applicable,,21.0,NEFT to Seller,No,,Paid,61-90,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,78,No,No,No,No,No,No,No
HL201406147,13-10-2014,04-11-2014,18-11-2014,Ravi Nair,31.0,Male,Widowed,2.0,SYLAC4315F,,+91 9297891809,ravinair@rediffmail.com,Agra,Uttar Pradesh,209220.0,Salaried,Tata Motors,1.0,77669,932028.0,70393.0,993541.0,872978.0,Yes,Construction,Row House,15043456,9176508,0.61,5866948,Family Gift,20,9.96,88312,1.14,5158,No,,,694.0,0,IndusInd Bank,2+ DPD,Empanelled Valuer A,Minor Observations,No,No,Yes,12.0,NEFT to Builder,No,,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,68,No,No,No,No,No,No,No
HL201103136,31-10-2011,28-11-2011,16-12-2011,Sudha Pillai,26.0,Male,Single,0.0,AJNTN9061W,2303 4996 1739,+91 8328037155,sudha31@yahoo.com,Noida,Uttar Pradesh,118769.0,Salaried,Infosys Ltd,7.0,122804,1473648.0,116192.0,1435792.0,1172823.0,Yes,Repair/Renovation,Row House,21743213,14785384,0.68,6957829,Own Savings,21,9.34,134083,1.09,7525,No,,,755.0,2,BOB,Written Off,Empanelled Valuer B,Clear,Yes,Not Applicable,Yes,13.0,NEFT to Builder,Yes,DSA/Dubey Associates,Paid,90+,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,119,No,No,No,No,No,No,No
HL200500085,20-09-2005,10-10-2005,14-10-2005,Neha Srivastava,56.0,Female,Single,0.0,NIJUF5201V,5324 4907 2860,+91 7090742189,neha22@rediffmail.com,Patna,Bihar,567319.0,Self-Employed Business,Self,7.0,367842,4414104.0,331675.0,4554181.0,4251357.0,,Repair/Renovation,Row House,20617634,13607638,0.66,7009996,Own Savings,30,9.57,115116,0.31,40957,No,,,712.0,0,Kotak Bank,,Empanelled Valuer A,Minor Observations,Post-Sanction Only,No,Yes,12.0,Cash,No,,Paid,0,Written Off,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,94,No,No,No,No,No,No,No
HL200802976,16-06-2008,25-06-2008,15-07-2008,Pooja Jain,52.0,Male,Married,3.0,LGJMW7817N,3928 5453 1778,+91 9714252137,pooja75212@outlook.com,Nagpur,Maharashtra,455692.0,Salaried,Swiggy,9.0,198754,2385048.0,173193.0,,2365355.0,Yes,Construction,Row House,13128837,8796320,0.67,4332517,Own Savings,14,9.08,92679,0.47,29651,No,,,766.0,3,SBI,2+ DPD,Empanelled Valuer A,Clear,Yes,No,Yes,23.0,NEFT to Seller,Yes,DSA/Sinha Associates,Paid,0,NPA,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,71,No,No,No,No,No,No,No
HL201502329,22-01-2015,01-02-2015,11-02-2015,Vijay Sinha,41.0,Male,Widowed,0.0,MECMG7552O,9842 6980 7627,+91 9367221474,vijay38@yahoo.com,Visakhapatnam,Andhra Pradesh,186748.0,Self-Employed Business,Self,16.0,173359,2080308.0,164029.0,2201705.0,1631562.0,,Extension,Flat/Apartment,23133706,15962257,0.69,7171449,Family Gift,8,10.32,244925,1.41,4429,No,,0.0,695.0,2,Yes Bank,1 DPD,Empanelled Valuer A,Minor Observations,Post-Sanction Only,Yes,No,15.0,NEFT to Seller,No,,Delayed,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,47,No,No,No,No,No,No,No
HL201407171,29-11-2014,13-12-2014,,Manju Bansal,36.0,Male,Married,0.0,NNNDC1846Q,3185 7134 8073,+91 8386482817,manju_bansal@outlook.com,Nagpur,Maharashtra,549515.0,Self-Employed Business,Self,,117772,1413264.0,116295.0,1388671.0,1226726.0,,Construction,Flat/Apartment,17927444,12728485,0.71,5198959,Family Gift,24,10.27,119174,1.01,5697,Yes,Ramesh Nair,263964.0,710.0,1,ICICI Bank,,Collusive Valuer,Adverse,Yes,Yes,Yes,,NEFT to Seller,Yes,DSA/Verma Associates,Paid,61-90,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,31,No,No,No,No,No,No,No
HL200800146,22-11-2008,11-12-2008,21-12-2008,Asha Bansal,31.0,Female,Single,4.0,NYISM1467F,9555 5924 9586,+91 8861128290,asha.bansal@yahoo.com,Bhopal,Madhya Pradesh,434297.0,Salaried,NTPC Ltd,12.0,98303,1179636.0,83574.0,1269985.0,908430.0,Yes,Repair/Renovation,Independent House,18178203,13088306,0.72,5089897,Third Party,21,9.36,118866,1.21,10785,Yes,Amit Shukla,744468.0,728.0,0,SBI,,Empanelled Valuer B,Clear,Yes,Yes,No,25.0,Cash,Yes,DSA/Desai Associates,Paid,0,NPA,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,50,No,No,No,No,No,No,No
HL202007972,20-07-2020,30-07-2020,14-08-2020,Ashok Goel,54.0,Female,Married,4.0,DYMRP1671N,8218 9407 6214,+91 8864830534,agoel836@outlook.com,Mumbai,Maharashtra,235529.0,Salaried,Paytm,9.0,120107,1441284.0,104843.0,1473781.0,,Yes,Balance Transfer,Independent House,8962510,6542632,0.73,2419878,Own Savings,15,10.84,73707,0.61,7245,No,,0.0,721.0,0,Union Bank,2+ DPD,Third Party Valuer,Conditional Clear,Yes,Yes,Yes,12.0,NEFT to Seller,Yes,DSA/Srivastava Associates,Paid,1-30,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,44,No,No,No,No,No,No,No
HL202303504,29-06-2023,27-07-2023,08-08-2023,Arun Malhotra,32.0,Female,Married,0.0,YXTTU7588X,3936 4108 9704,+91 8697019501,arun80@outlook.com,Chennai,Tamil Nadu,360570.0,Salaried,,5.0,0,0.0,0.0,1124301.0,1034098.0,Yes,Extension,Flat/Apartment,3208494,2053436,0.64,1155058,Own Savings,26,9.19,17329,0.18,1765,Yes,Seema Shukla,,748.0,0,Yes Bank,2+ DPD,Empanelled Valuer A,Conditional Clear,Post-Sanction Only,Not Applicable,Partial,29.0,NEFT to Seller,No,,Paid,0,Active,,CLEAN,0,,0,No,No,Yes,No,No,Yes,No,No,Yes,No,65,No,No,No,No,No,No,Yes
HL202200563,11-05-2022,03-06-2022,15-06-2022,Mohan Srivastava,36.0,Male,Married,1.0,WMQDA9696D,8971 8436 7808,+91 7763458162,neha183@rediffmail.com,Pune,Maharashtra,795196.0,Self-Employed Business,Self,15.0,285791,3429492.0,273452.0,3383635.0,3205011.0,,Extension,Independent House,7998026,4958776,0.62,3039250,Unknown,6,11.51,95686,0.33,25446,No,,0.0,702.0,6,SBI,,Collusive Valuer,Minor Observations,Yes,Not Applicable,Yes,27.0,Cheque,Yes,DSA/Shukla Associates,Paid,0,Active,,CLEAN,0,,1,No,No,No,No,No,No,No,No,Yes,No,97,Yes,No,Yes,No,No,No,No
HL202000383,20-04-2020,13-05-2020,24-05-2020,Deepak Kumar,45.0,Female,Single,2.0,,8955 7934 3648,+91 9015144310,deepak_kumar@rediffmail.com,Pune,Maharashtra,402603.0,Salaried,TCS,2.0,141880,,136351.0,1552447.0,1582704.0,No,Balance Transfer,Villa,21922891,16661397,0.76,5261494,Own Savings,14,11.96,204752,1.44,21274,Yes,Harish Mukherjee,,738.0,1,HDFC Bank,,Empanelled Valuer B,Clear,Yes,Not Applicable,No,12.0,Cash,Yes,DSA/Tripathi Associates,Delayed,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,39,No,No,No,No,No,No,No
HL200400359,15-01-2004,31-01-2004,09-02-2004,Harish Nair,59.0,Female,Married,3.0,CRKYP2654C,4902 8063 1744,+91 8991057899,hnair@gmail.com,Ludhiana,Punjab,203748.0,Self-Employed Professional,Self,15.0,130917,1571004.0,,1523713.0,1314184.0,,Repair/Renovation,Row House,23715582,15177972,0.64,8537610,Own Savings,8,8.55,218833,1.67,9264,No,,0.0,733.0,1,,,Third Party Valuer,Adverse,Post-Sanction Only,Yes,Yes,10.0,NEFT to Builder,No,,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,52,No,No,No,No,No,No,No
HL201000357,29-07-2010,06-08-2010,13-08-2010,Geeta Bansal,40.0,Male,Married,2.0,EKHQZ1583P,2617 2493 5087,+91 9401155253,gbansal@yahoo.com,Agra,Uttar Pradesh,435122.0,Salaried,SBI,3.0,221245,2654940.0,192928.0,2845204.0,2320535.0,No,Balance Transfer,Plot+Construction,8904783,6589539,0.74,2315244,Own Savings,5,9.79,139328,0.63,15841,Yes,Anita Bansal,255804.0,687.0,0,ICICI Bank,,Empanelled Valuer A,Clear,Yes,Yes,Yes,18.0,NEFT to Builder,No,,Paid,90+,NPA,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,98,No,No,No,No,No,No,No
HL201203997,04-08-2012,14-08-2012,26-08-2012,Priya Agarwal,61.0,Female,Divorced,1.0,YLKBZ2138Y,3081 8219 5416,+91 9307463086,,Coimbatore,Tamil Nadu,785178.0,Salaried,SBI,9.0,251082,3012984.0,244292.0,2886923.0,,Yes,Balance Transfer,Villa,21353051,13665952,0.64,7687099,Own Savings,15,8.63,135617,0.54,7644,No,,0.0,,0,HDFC Bank,,Empanelled Valuer A,Clear,Post-Sanction Only,Yes,Yes,17.0,NEFT to Seller,No,,Paid,61-90,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,36,No,No,No,No,No,No,No
